name;lvl;hp;mass;speed;armor;ammo;speed_ammo;dpm;type
БТ-7;3; 230;14,4;65,4;20;45;28,57;1 343;Лёгкий танк
БТ-7;3; 230;14,3;65,4;20;37;28,57;1 143;Лёгкий танк
Т-46;3; 220;14,1;58;22;45;26,09;1 226;Лёгкий танк
Т-46;3; 220;14,4;58;22;37;26,09;1 043;Лёгкий танк
Т-46;3; 250;14,9;58;22;45;26,09;1 226;Лёгкий танк
Т-46;3; 250;15,3;58;22;76;13,04;1 435;Лёгкий танк
Т-46;3; 250;14,9;58;22;37;26,09;1 043;Лёгкий танк
Т-46;3; 250;15,0;58;22;45;26,09;1 435;Лёгкий танк
Т-46;3; 250;14,9;58;22;37;53,01;2 121;Лёгкий танк
Т-70;3; 210;9,2;45;35;45;25,00;1 175;Лёгкий танк
Т-70;3; 210;9,2;45;35;37;25,00;1 000;Лёгкий танк
Т-70;3; 230;10,0;45;35;45;26,09;1 226;Лёгкий танк
Т-70;3; 230;9,9;45;35;37;26,09;1 043;Лёгкий танк
Т-70;3; 230;10,0;45;35;45;24,00;1 320;Лёгкий танк
Валентайн II;4; 380;15,7;32;60;45;26,25;1 234;Лёгкий танк
А-20;4; 310;17,5;72;20;45;26,09;1 226;Лёгкий танк
А-20;4; 310;17,5;72;20;37;26,09;1 043;Лёгкий танк
А-20;4; 310;17,5;72;20;37;53,57;2 143;Лёгкий танк
А-20;4; 340;17,7;72;20;45;26,09;1 226;Лёгкий танк
А-20;4; 340;17,6;72;20;37;26,09;1 043;Лёгкий танк
А-20;4; 340;18,1;72;20;76;10,00;1 100;Лёгкий танк
А-20;4; 340;17,7;72;20;45;26,09;1 435;Лёгкий танк
А-20;4; 340;17,6;72;20;37;57,69;2 308;Лёгкий танк
Т-80;4; 350;11,3;45;35;45;28,57;1 343;Лёгкий танк
Т-80;4; 350;11,8;45;35;45;28,57;1 571;Лёгкий танк
Т-80;4; 350;11,8;45;35;45;28,57;1 571;Лёгкий танк
Т-80;4; 350;11,7;45;35;37;57,69;2 308;Лёгкий танк
Т-50;4; 360;14,0;52;37;45;28,57;1 343;Лёгкий танк
Т-50;4; 360;14,1;52;37;45;28,57;1 571;Лёгкий танк
Т-50;4; 360;14,1;52;37;45;28,57;1 571;Лёгкий танк
Т-50;4; 360;14,0;52;37;37;57,69;2 308;Лёгкий танк
МТ-25;6; 510;25,0;72;45;45;30,00;1 410;Лёгкий танк
МТ-25;6; 510;25,0;72;45;45;30,00;1 650;Лёгкий танк
МТ-25;6; 510;24,9;72;45;37;57,69;2 308;Лёгкий танк
МТ-25;6; 570;25,2;72;45;45;30,00;1 410;Лёгкий танк
МТ-25;6; 570;25,3;72;45;45;30,00;1 650;Лёгкий танк
МТ-25;6; 570;25,2;72;45;37;36,73;1 469;Лёгкий танк
МТ-25;6; 570;25,7;72;45;57;25,00;2 125;Лёгкий танк
ЛТТБ;7; 950;22,0;68;90;85;12,50;2 000;Лёгкий танк
ЛТТБ;7; 950;22,4;68;90;85;11,54;2 077;Лёгкий танк
ЛТТБ;7; 950;22,7;68;90;85;11,76;2 118;Лёгкий танк
Т-54 облегчённый;8;1 250;30,9;69;80;100;7,89;1 974;Лёгкий танк
Т-54 облегчённый;8;1 250;30,7;69;80;100;8,00;2 000;Лёгкий танк
Т-54 облегчённый;8;1 250;30,6;69;80;100;8,00;2 000;Лёгкий танк
Т-28Э с Ф-30;4; 380;33,0;35;50;85;9,84;1 574;Средний танк
А-32;4; 360;19,5;70;35;76;13,13;1 444;Средний танк
Т-28;4; 320;16,0;45;30;76;13,04;1 435;Средний танк
Т-28;4; 320;16,5;45;30;76;13,04;1 435;Средний танк
Т-28;4; 320;16,6;45;30;76;15,38;1 692;Средний танк
Т-28;4; 320;16,2;45;30;57;20,69;1 552;Средний танк
Т-28;4; 320;16,6;45;30;57;22,22;1 889;Средний танк
Т-28;4; 350;16,9;45;30;76;13,04;1 435;Средний танк
Т-28;4; 350;17,0;45;30;76;13,04;1 435;Средний танк
Т-28;4; 350;17,1;45;30;76;15,38;1 692;Средний танк
Т-28;4; 350;16,7;45;30;57;20,69;1 552;Средний танк
Т-28;4; 350;17,1;45;30;57;22,22;1 889;Средний танк
Матильда IV;5; 610;27,4;25;75;76;16,15;1 777;Средний танк
Т-34;5; 400;27,9;56;45;76;10,00;1 100;Средний танк
Т-34;5; 400;28,5;56;45;76;11,76;1 294;Средний танк
Т-34;5; 400;28,0;56;45;57;17,65;1 500;Средний танк
Т-34;5; 450;28,7;56;45;76;12,24;1 347;Средний танк
Т-34;5; 450;29,2;56;45;76;15,79;1 737;Средний танк
Т-34;5; 450;29,4;56;45;76;10,53;1 211;Средний танк
Т-34;5; 450;28,7;56;45;57;26,09;2 217;Средний танк
Т-34-85 Rudy;6; 720;32,5;54;45;85;10,00;1 800;Средний танк
Т-34-85М;6; 720;32,2;53;75;85;11,54;1 846;Средний танк
Т-34-85;6; 670;32,4;54;45;76;14,63;1 683;Средний танк
Т-34-85;6; 670;32,6;54;45;122;5,08;2 288;Средний танк
Т-34-85;6; 670;32,6;54;45;85;11,54;1 846;Средний танк
Т-34-85;6; 720;33,4;54;45;122;5,26;2 368;Средний танк
Т-34-85;6; 720;33,2;54;45;76;15,00;1 725;Средний танк
Т-34-85;6; 720;33,4;54;45;85;12,00;1 920;Средний танк
Т-34-85;6; 720;33,7;54;45;85;10,00;1 800;Средний танк
А-43;6; 660;27,0;55;60;76;16,67;1 833;Средний танк
А-43;6; 660;27,3;55;60;76;16,67;1 917;Средний танк
А-43;6; 660;26,6;55;60;57;26,09;2 217;Средний танк
А-43;6; 730;27,5;55;60;76;18,18;2 000;Средний танк
А-43;6; 730;27,8;55;60;76;18,18;2 091;Средний танк
А-43;6; 730;27,1;55;60;57;26,09;2 217;Средний танк
Т-44-122;7;1 100;31,3;52,6;75;122;3,75;1 463;Средний танк
Т-44-85;7;1 100;31,3;51,6;75;85;9,52;1 905;Средний танк
Т-43;7;1 000;33,1;51;75;85;12,00;1 920;Средний танк
Т-43;7;1 000;33,2;51;75;122;5,26;2 368;Средний танк
Т-43;7;1 100;34,6;51;75;122;5,36;2 411;Средний танк
Т-43;7;1 100;34,6;51;75;85;12,50;2 000;Средний танк
Т-43;7;1 100;34,9;51;75;85;11,11;2 000;Средний танк
КВ-13;7;1 020;30,7;50;120;76;16,67;1 833;Средний танк
КВ-13;7;1 020;30,9;50;120;76;16,67;1 917;Средний танк
КВ-13;7;1 120;35,4;50;120;122;5,26;2 368;Средний танк
КВ-13;7;1 120;35,0;50;120;76;16,67;1 833;Средний танк
КВ-13;7;1 120;35,2;50;120;76;16,67;1 917;Средний танк
КВ-13;7;1 120;35,3;50;120;85;12,00;1 920;Средний танк
КВ-13;7;1 120;35,7;50;120;85;10,53;1 895;Средний танк
А-44;7;1 000;36,4;59;150;76;18,18;2 000;Средний танк
А-44;7;1 000;36,7;59;150;76;18,18;2 091;Средний танк
А-44;7;1 000;36,0;59;150;57;26,09;2 217;Средний танк
А-44;7;1 000;37,7;59;150;107;5,71;1 714;Средний танк
А-44;7;1 100;37,4;59;150;76;18,18;2 000;Средний танк
А-44;7;1 100;37,6;59;150;76;18,18;2 091;Средний танк
А-44;7;1 100;36,9;59;150;57;26,09;2 217;Средний танк
А-44;7;1 100;38,6;59;150;107;5,71;1 714;Средний танк
Т-44-100;8;1 350;33,5;52;90;100;7,41;1 852;Средний танк
Т-54 первый образец;8;1 300;35,5;44;120;100;7,50;1 875;Средний танк
Т-44;8;1 200;32,4;51;90;85;12,50;2 000;Средний танк
Т-44;8;1 200;32,6;51;90;85;10,53;1 895;Средний танк
Т-44;8;1 300;33,1;51;90;85;12,77;2 043;Средний танк
Т-44;8;1 300;33,4;51;90;85;10,71;1 929;Средний танк
Т-44;8;1 300;33,8;51;90;100;6,59;1 648;Средний танк
Т-44;8;1 300;34,0;51;90;100;7,41;1 852;Средний танк
Т-44;8;1 300;34,2;51;90;122;3,13;1 219;Средний танк
Объект 416;8;1 100;24,3;50;75;100;6,90;1 724;Средний танк
Объект 416;8;1 100;24,1;50;75;100;6,90;2 207;Средний танк
Объект 416;8;1 200;24,3;50;75;100;7,50;1 875;Средний танк
Объект 416;8;1 200;24,0;50;75;100;7,50;2 400;Средний танк
Т-54;9;1 550;34,0;56;120;100;6,82;1 705;Средний танк
Т-54;9;1 550;34,1;56;120;100;7,69;1 923;Средний танк
Т-54;9;1 650;35,0;56;120;100;7,06;1 765;Средний танк
Т-54;9;1 650;35,1;56;120;100;8,00;2 000;Средний танк
Т-54;9;1 650;35,0;56;120;100;7,69;2 462;Средний танк
Т-54;9;1 650;35,2;56;120;100;7,32;2 341;Средний танк
Объект 430 Вариант II;9;1 600;35,5;55;120;100;7,89;2 526;Средний танк
Объект 430 Вариант II;9;1 600;36,0;55;120;100;7,50;2 400;Средний танк
Объект 430 Вариант II;9;1 700;35,9;55;120;100;7,89;2 526;Средний танк
Объект 430 Вариант II;9;1 700;36,5;55;120;100;7,50;2 400;Средний танк
(А) Т-62А;10;1 950;37,0;50;100;100;9,09;2 909;Средний танк
Т-22 ср.;10;1 900;36,0;55;100;100;8,00;2 560;Средний танк
Объект 907;10;2 000;36,0;55;100;100;9,23;2 954;Средний танк
Объект 907A;10;2 000;36,0;55;100;100;9,23;2 954;Средний танк
Объект 140;10;1 900;36,0;55;100;100;9,09;2 909;Средний танк
Объект 430;10;1 900;35,3;55;120;100;9,38;3 000;Средний танк
Т-62А;10;1 950;37,0;50;100;100;9,09;2 909;Средний танк
КВ-220-2;5; 690;62,2;33;120;76;14,00;1 540;Тяжёлый танк
КВ-220-2 Бета-Тест;5; 690;62,2;33;120;76;14,00;1 540;Тяжёлый танк
Черчилль III;5; 700;39,7;28;176;57;26,25;1 969;Тяжёлый танк
КВ-1;5; 590;47,4;34;75;76;15,00;1 650;Тяжёлый танк
КВ-1;5; 590;47,9;34;75;122;5,26;2 368;Тяжёлый танк
КВ-1;5; 590;47,1;34;75;57;26,09;2 217;Тяжёлый танк
КВ-1;5; 640;49,2;34;75;122;5,26;2 368;Тяжёлый танк
КВ-1;5; 640;48,7;34;75;76;15,00;1 650;Тяжёлый танк
КВ-1;5; 640;48,3;34;75;57;26,09;2 217;Тяжёлый танк
КВ-1;5; 640;49,1;34;75;85;12,00;1 920;Тяжёлый танк
КВ-1С;5; 620;43,1;43;75;76;14,29;1 571;Тяжёлый танк
КВ-1С;5; 620;43,4;43;75;85;11,54;1 846;Тяжёлый танк
КВ-1С;5; 660;44,1;43;75;122;5,17;2 328;Тяжёлый танк
КВ-1С;5; 660;43,7;43;75;76;15,00;1 650;Тяжёлый танк
КВ-1С;5; 660;44,0;43;75;85;12,00;1 920;Тяжёлый танк
Объект 244;6; 880;44,0;42;120;85;10,53;1 895;Тяжёлый танк
Т-150;6; 830;50,2;35;90;76;15,00;1 650;Тяжёлый танк
Т-150;6; 830;50,7;35;90;122;5,26;2 368;Тяжёлый танк
Т-150;6; 830;49,8;35;90;57;26,09;2 217;Тяжёлый танк
Т-150;6; 830;50,6;35;90;85;12,00;1 920;Тяжёлый танк
Т-150;6; 880;53,5;35;90;122;5,45;2 455;Тяжёлый танк
Т-150;6; 880;53,1;35;90;76;15,00;1 650;Тяжёлый танк
Т-150;6; 880;52,6;35;90;57;26,09;2 217;Тяжёлый танк
Т-150;6; 880;53,4;35;90;85;12,50;2 000;Тяжёлый танк
Т-150;6; 880;54,3;35;90;107;5,88;1 765;Тяжёлый танк
КВ-85;6; 820;46,0;34;75;85;12,24;1 959;Тяжёлый танк
КВ-85;6; 870;45,4;34;75;85;12,24;1 959;Тяжёлый танк
КВ-85;6; 870;45,8;34;75;100;7,89;1 974;Тяжёлый танк
КВ-85;6; 870;46,5;34;75;122;3,00;1 170;Тяжёлый танк
КВ-2;6; 810;51,2;35;75;122;5,45;2 455;Тяжёлый танк
КВ-2;6; 810;52,0;35;75;152;2,50;1 750;Тяжёлый танк
КВ-2;6; 810;52,1;35;75;107;6,19;1 856;Тяжёлый танк
КВ-2;6; 860;52,3;35;75;122;5,45;2 455;Тяжёлый танк
КВ-2;6; 860;53,0;35;75;152;2,50;1 750;Тяжёлый танк
КВ-2;6; 860;53,1;35;75;107;6,19;1 856;Тяжёлый танк
ИС-2;7;1 280;46,3;34;100;122;4,88;1 902;Тяжёлый танк
КВ-3;7;1 300;64,9;32;120;85;11,76;1 882;Тяжёлый танк
КВ-3;7;1 300;64,8;32;120;85;11,76;1 882;Тяжёлый танк
КВ-3;7;1 300;65,7;32;120;107;6,19;1 856;Тяжёлый танк
КВ-3;7;1 400;67,1;32;120;85;11,76;1 882;Тяжёлый танк
КВ-3;7;1 400;67,2;32;120;85;11,76;1 882;Тяжёлый танк
КВ-3;7;1 400;68,0;32;120;107;6,19;1 856;Тяжёлый танк
КВ-3;7;1 400;68,2;32;120;122;4,08;1 592;Тяжёлый танк
КВ-3;7;1 400;67,9;32;120;100;6,45;1 613;Тяжёлый танк
КВ-3;7;1 400;68,2;32;120;122;4,88;1 902;Тяжёлый танк
ИС;7;1 130;44,9;34;120;85;12,24;1 959;Тяжёлый танк
ИС;7;1 130;45,2;34;120;85;10,34;1 862;Тяжёлый танк
ИС;7;1 130;45,6;34;120;100;7,69;1 923;Тяжёлый танк
ИС;7;1 230;45,1;34;120;85;12,24;1 959;Тяжёлый танк
ИС;7;1 230;45,5;34;120;85;10,34;1 862;Тяжёлый танк
ИС;7;1 230;46,2;34;120;122;4,08;1 592;Тяжёлый танк
ИС;7;1 230;45,9;34;120;100;7,89;1 974;Тяжёлый танк
ИС;7;1 230;46,2;34;120;122;4,88;1 902;Тяжёлый танк
ИС-3 с МЗ;8;1 550;49,0;40;110;122;5,13;2 000;Тяжёлый танк
КВ-5;8;1 780;100,2;40;180;107;7,00;2 100;Тяжёлый танк
ИС-6;8;1 550;51,5;35;100;122;5,13;2 000;Тяжёлый танк
ИС-5 (Объект 730);8;1 550;49,0;42;120;122;4,76;1 857;Тяжёлый танк
КВ-4;8;1 600;97,4;30;180;107;6,45;1 935;Тяжёлый танк
КВ-4;8;1 600;97,9;30;180;122;4,08;1 592;Тяжёлый танк
КВ-4;8;1 600;97,8;30;180;122;4,88;1 902;Тяжёлый танк
КВ-4;8;1 600;98,1;30;180;107;5,26;1 684;Тяжёлый танк
КВ-4;8;1 650;106,3;30;180;107;6,67;2 000;Тяжёлый танк
КВ-4;8;1 650;106,5;30;180;122;4,17;1 625;Тяжёлый танк
КВ-4;8;1 650;106,4;30;180;122;4,96;1 934;Тяжёлый танк
КВ-4;8;1 650;106,7;30;180;107;5,41;1 730;Тяжёлый танк
ИС-3;8;1 450;48,7;38;110;122;4,08;1 592;Тяжёлый танк
ИС-3;8;1 450;48,3;38;110;100;6,82;1 705;Тяжёлый танк
ИС-3;8;1 450;48,6;38;110;122;4,88;1 902;Тяжёлый танк
ИС-3;8;1 450;48,8;38;110;122;4,51;1 759;Тяжёлый танк
ИС-3;8;1 500;48,9;38;110;122;4,08;1 592;Тяжёлый танк
ИС-3;8;1 500;48,6;38;110;100;6,82;1 705;Тяжёлый танк
ИС-3;8;1 500;48,9;38;110;122;4,88;1 902;Тяжёлый танк
ИС-3;8;1 500;49,1;38;110;122;4,51;1 759;Тяжёлый танк
Т-10;9;1 700;50,1;50;120;122;5,08;1 983;Тяжёлый танк
Т-10;9;1 700;50,3;50;120;122;4,72;1 843;Тяжёлый танк
Т-10;9;1 700;50,9;50;120;122;4,72;2 079;Тяжёлый танк
Т-10;9;1 800;50,0;50;120;122;5,31;2 071;Тяжёлый танк
Т-10;9;1 800;50,2;50;120;122;4,88;1 902;Тяжёлый танк
Т-10;9;1 800;50,9;50;120;122;4,88;2 146;Тяжёлый танк
СТ-I;9;1 800;57,7;40;140;122;5,00;1 950;Тяжёлый танк
СТ-I;9;1 800;58,2;40;140;122;4,55;1 773;Тяжёлый танк
СТ-I;9;1 900;60,2;40;140;122;5,13;2 000;Тяжёлый танк
СТ-I;9;1 900;60,4;40;140;122;4,76;1 857;Тяжёлый танк
СТ-I;9;1 900;61,0;40;140;122;4,51;1 985;Тяжёлый танк
(А) ИС-7;10;2 150;68,2;59,6;150;130;4,38;2 146;Тяжёлый танк
Объект 777 Вариант II;10;2 100;49,8;50;132;122;4,88;2 146;Тяжёлый танк
Объект 260;10;2 100;61,3;60;150;122;5,22;2 296;Тяжёлый танк
ИС-7;10;2 150;68,2;59,6;150;130;4,38;2 146;Тяжёлый танк
ИС-4;10;2 500;60,0;43;140;122;5,45;2 127;Тяжёлый танк
ИС-4;10;2 500;60,8;43;140;122;5,00;2 200;Тяжёлый танк
АТ-1;2; 125;9,7;30;16;45;28,57;1 343;ПТ-САУ
АТ-1;2; 125;10,1;30;16;76;12,50;1 375;ПТ-САУ
АТ-1;2; 125;9,7;30;16;37;28,57;1 143;ПТ-САУ
АТ-1;2; 125;9,9;30;16;57;19,35;1 452;ПТ-САУ
СУ-76И;3; 160;22,8;50;60;76;13,95;1 535;ПТ-САУ
СУ-76М;3; 155;9,9;48;25;57;23,08;1 731;ПТ-САУ
СУ-76М;3; 155;10,8;48;25;76;14,63;1 610;ПТ-САУ
СУ-76М;3; 155;10,4;48;25;57;18,75;1 594;ПТ-САУ
СУ-85Б;4; 260;12,1;43;25;76;17,65;1 941;ПТ-САУ
СУ-85Б;4; 260;12,4;43;25;85;13,33;2 133;ПТ-САУ
СУ-85Б;4; 260;12,9;43;25;85;13,33;2 133;ПТ-САУ
СУ-85Б;4; 260;12,2;43;25;57;26,09;2 217;ПТ-САУ
СУ-85И;5; 380;22,4;50;60;85;13,33;2 133;ПТ-САУ
СУ-85;5; 350;29,0;55;45;76;14,63;1 683;ПТ-САУ
СУ-85;5; 350;29,3;55;45;122;5,26;2 368;ПТ-САУ
СУ-85;5; 350;29,2;55;45;85;13,33;2 133;ПТ-САУ
СУ-85;5; 350;29,5;55;45;85;10,00;1 800;ПТ-САУ
СУ-100Y;6; 700;64,0;35;60;130;3,75;1 650;ПТ-САУ
СУ-100;6; 580;31,6;50;75;85;13,64;2 182;ПТ-САУ
СУ-100;6; 580;31,9;50;75;85;10,53;1 895;ПТ-САУ
СУ-100;6; 580;32,7;50;75;122;4,69;1 828;ПТ-САУ
СУ-100;6; 580;32,3;50;75;100;7,79;1 948;ПТ-САУ
ИСУ-122С;7; 870;45,8;43;90;122;8,11;3 162;ПТ-САУ
СУ-122-44;7; 840;32,8;47,5;90;122;7,50;2 925;ПТ-САУ
СУ-152;7; 870;45,7;43;75;152;3,39;2 373;ПТ-САУ
СУ-152;7; 870;45,8;43;75;122;6,67;2 600;ПТ-САУ
СУ-152;7; 870;45,8;43;75;122;8,11;3 162;ПТ-САУ
СУ-100М1;7; 830;32,1;50;90;100;8,22;2 055;ПТ-САУ
СУ-100М1;7; 830;32,2;50;90;100;10,17;2 542;ПТ-САУ
СУ-100М1;7; 830;32,2;50;90;100;10,17;2 542;ПТ-САУ
ИСУ-130;8;1 000;47,0;34;90;130;5,00;2 450;ПТ-САУ
КВ-4 КТТС;8;1 250;100,0;35;200;107;7,50;2 400;ПТ-САУ
ИСУ-152;8;1 010;45,7;43;90;152;3,51;2 456;ПТ-САУ
ИСУ-152;8;1 010;45,8;43;90;122;6,67;2 600;ПТ-САУ
ИСУ-152;8;1 010;45,8;43;90;122;8,11;3 162;ПТ-САУ
ИСУ-152;8;1 010;45,8;43;90;122;6,90;2 690;ПТ-САУ
ИСУ-152;8;1 010;49,7;43;90;152;3,41;2 557;ПТ-САУ
СУ-101;8; 990;34,1;54;120;100;9,68;2 419;ПТ-САУ
СУ-101;8; 990;34,3;54;120;122;7,69;3 000;ПТ-САУ
СУ-101;8; 990;34,3;54;120;100;8,96;2 866;ПТ-САУ
СУ-122-54;9;1 530;36,4;48;100;122;8,11;3 162;ПТ-САУ
СУ-122-54;9;1 530;36,4;48;100;100;9,23;2 954;ПТ-САУ
СУ-122-54;9;1 530;37,2;48;100;122;6,52;2 870;ПТ-САУ
Объект 704;9;1 600;44,7;37;120;152;3,51;2 456;ПТ-САУ
Объект 704;9;1 600;48,7;37;120;152;3,51;2 632;ПТ-САУ
Объект 704;9;1 600;48,7;37;120;152;3,51;2 632;ПТ-САУ
Объект 263;10;1 900;60,0;55;250;130;5,61;3 084;ПТ-САУ
Объект 268;10;1 950;51,0;48;187;152;3,64;2 727;ПТ-САУ
СУ-18;2; 70;5,4;22;16;76;7,50;1 230;САУ
СУ-18;2; 70;5,4;22;16;76;7,50;1 230;САУ
СУ-18;2; 70;6,1;22;16;76;7,50;1 230;САУ
СУ-26;3; 110;8,1;30;15;76;8,33;1 367;САУ
СУ-26;3; 110;8,2;30;15;76;9,09;1 000;САУ
СУ-26;3; 110;8,3;30;15;76;9,09;1 000;САУ
СУ-5;4; 160;10,3;30;15;76;10,00;1 100;САУ
СУ-5;4; 160;10,3;30;15;76;10,00;1 100;САУ
СУ-5;4; 160;10,3;30;15;122;3,87;1 161;САУ
СУ-5;4; 160;10,3;30;15;152;3,53;1 588;САУ
СУ-122А;5; 210;10,0;30;25;122;3,64;1 691;САУ
СУ-122А;5; 210;10,8;30;25;152;1,90;1 728;САУ
СУ-8;6; 270;21,8;48;30;122;4,00;2 120;САУ
СУ-8;6; 270;22,0;48;30;152;2,18;1 985;САУ
СУ-8;6; 270;22,0;48;30;152;2,18;1 985;САУ
СУ-14-1;7; 350;45,3;30;20;152;2,31;2 100;САУ
СУ-14-1;7; 350;48,6;30;20;152;2,22;2 111;САУ
СУ-14-1;7; 350;48,1;30;20;203;1,08;2 000;САУ
С-51;7; 350;50,2;30;60;152;2,15;2 043;САУ
С-51;7; 350;49,7;30;60;203;1,08;2 000;САУ
С-51;7; 350;49,7;30;60;203;1,08;2 000;САУ
СУ-14-2;8; 410;64,0;30;50;152;2,59;2 457;САУ
СУ-14-2;8; 410;63,5;30;50;203;1,30;2 413;САУ
212А;9; 460;54,9;35;60;152;2,78;2 639;САУ
212А;9; 460;54,5;35;60;203;1,38;2 552;САУ
Объект 261;10; 510;59,1;50;75;180;1,71;2 914;САУ
Leichttraktor;1; 110;7,5;36;14;37;26,09;939;Лёгкий танк
Leichttraktor;1; 110;7,6;36;14;20;105,11;1 156;Лёгкий танк
Leichttraktor;1; 130;8,1;36;14;20;118,42;1 303;Лёгкий танк
Leichttraktor;1; 130;8,1;36;14;37;26,09;939;Лёгкий танк
Leichttraktor;1; 130;8,1;36;14;20;127,43;1 402;Лёгкий танк
Pz.Kpfw. 38H 735 (f);2; 160;10,6;37;40;37;26,25;1 050;Лёгкий танк
Pz.Kpfw. II Ausf. D;2; 210;11,0;55;30;20;101,45;1 116;Лёгкий танк
Pz.Kpfw. II;2; 145;9,2;40;30;20;99,76;1 097;Лёгкий танк
Pz.Kpfw. II;2; 145;9,3;40;30;20;111,80;1 230;Лёгкий танк
Pz.Kpfw. II;2; 145;9,5;40;30;20;111,80;1 230;Лёгкий танк
Pz.Kpfw. II;2; 170;9,4;40;30;20;106,87;1 176;Лёгкий танк
Pz.Kpfw. II;2; 170;9,4;40;30;20;120,81;1 329;Лёгкий танк
Pz.Kpfw. II;2; 170;9,5;40;30;20;120,81;1 329;Лёгкий танк
Pz.Kpfw. I;2; 145;5,6;40;13;20;99,76;1 097;Лёгкий танк
Pz.Kpfw. I;2; 145;5,7;40;13;20;111,80;1 230;Лёгкий танк
Pz.Kpfw. I;2; 145;6,0;40;13;20;125,22;1 377;Лёгкий танк
Pz.Kpfw. I;2; 160;6,0;40;13;20;106,87;1 176;Лёгкий танк
Pz.Kpfw. I;2; 160;6,0;40;13;20;120,81;1 329;Лёгкий танк
Pz.Kpfw. I;2; 160;6,0;40;13;20;134,58;1 480;Лёгкий танк
Pz.Kpfw. 35 (t);2; 150;10,0;35;25;37;26,09;1 043;Лёгкий танк
Pz.Kpfw. 35 (t);2; 150;10,1;35;25;20;99,76;1 097;Лёгкий танк
Pz.Kpfw. 35 (t);2; 150;10,2;35;25;20;111,80;1 230;Лёгкий танк
Pz.Kpfw. 35 (t);2; 150;10,2;35;25;37;26,09;1 043;Лёгкий танк
Pz.Kpfw. 35 (t);2; 180;10,5;35;25;37;26,09;1 043;Лёгкий танк
Pz.Kpfw. 35 (t);2; 180;10,5;35;25;20;106,87;1 176;Лёгкий танк
Pz.Kpfw. 35 (t);2; 180;10,5;35;25;20;120,81;1 329;Лёгкий танк
Pz.Kpfw. 35 (t);2; 180;10,5;35;25;37;26,09;1 043;Лёгкий танк
43 M. Toldi III;3; 230;9,5;45;35;40;19,35;871;Лёгкий танк
